id,name,category,subcategory,tags,latitude,longitude,town,state,country,waterBodyRegion,description,website,phone,vhfChannel,email,amenities,fuel_available,fuel_types,fuel_ethanol_free,fuel_high_speed,fuel_hours,totalSlips,transientSlips,maxVesselLength,minDepth,lock_number,lock_canal,lock_system,lock_lift,lock_chamber_length,lock_chamber_width,lock_operating_hours,lock_operating_season,lock_fee,lock_tie_up_walls,lock_restrooms,lock_water,lock_electric,lock_pumpout,lock_remarks,bridge_type,bridge_clearance_height,bridge_clearance_open,bridge_horizontal_clearance,bridge_roadway,bridge_owner,bridge_opening_schedule,bridge_restricted_hours,bridge_vhf,bridge_signal_required,bridge_signal_type,bridge_advance_notice,bridge_operating_season,bridge_remarks,aton_uscg_id,aton_llnr,aton_characteristic,aton_color,aton_shape,aton_height,aton_range,aton_structure,aton_radar_reflector,aton_sound,aton_remarks
bridge-fort-edward-rail,Fort Edward Railroad Bridge,bridge,lift-bridge,,43.267,-73.585,Fort Edward,NY,United States,Champlain Canal,Railroad lift bridge - normally kept open,,,13,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,lift,8,45,50,,CSX Transportation,On signal,,13,TRUE,1 long + 1 short,,May-Nov,Bridge kept in open position during navigation,,,,,,,,,,,
### ATON EXAMPLES ###,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aton-crown-point-light,Champlain Memorial Lighthouse,aton,lighthouse,,44.02988,-73.42151,Crown Point,NY,United States,Lake Champlain Southern,Historic lighthouse at Crown Point,,,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7890,19250,Fl W 10s,white,,55,14,white octagonal tower,FALSE,,Historic - not operational,,
aton-buoy-58,Red Conical 58 Lighted,aton,buoy,,44.02632,-73.41341,Crown Point,NY,United States,Lake Champlain Southern,Lighted red buoy marking channel,,,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7895,19255,Fl R 4s,red,conical,,4,,TRUE,,,,
### RESTAURANT EXAMPLES ###,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
restaurant-dockside-cafe,Dockside Café,dining,waterfront-restaurant,,44.04087,-73.45871,Port Henry,NY,United States,Lake Champlain Southern,Waterfront dining at Bridgeview Harbour,https://www.facebook.com/DocksideCafeAtBridgeviewHarbour/,15185467400,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
restaurant-basin-grill,The Basin Grill,dining,waterfront-restaurant,,43.09832,-73.57598,Schuylerville,NY,United States,Hudson River,Casual waterfront dining,http://www.thebasingrill.com/,15186952073,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
### POINTS OF INTEREST EXAMPLES ###,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poi-fort-ticonderoga,Fort Ticonderoga,poi,museum,"historic,landmark",43.84187,-73.3875,Ticonderoga,NY,United States,Lake Champlain Southern,Revolutionary War fort and museum,https://www.fortticonderoga.org/,,,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poi-mount-independence,Mount Independence,poi,museum,"historic,landmark",43.8264,-73.3816,Orwell,VT,United States,Lake Champlain Southern,Revolutionary War fortification site,https://historicsites.vermont.gov/mount-independence,18025058592,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
### BAY/ANCHORAGE EXAMPLES ###,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bay-willsboro,Willsboro Bay,bay,anchorage,anchorage,44.39934,-73.38913,Willsboro,NY,United States,Lake Champlain Broad,Protected anchorage with good holding,,,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bay-bulwagga,Bulwagga Bay,bay,anchorage,anchorage,44.01811,-73.44519,Crown Point,NY,United States,Lake Champlain Southern,Sheltered bay good for overnight anchoring,,,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
### BOAT LAUNCH EXAMPLES ###,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
launch-port-henry,Port Henry Boat Launch,bay,boat-launch,,44.05252,-73.45306,Port Henry,NY,United States,Lake Champlain Southern,Public boat launch with trailer parking,,,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
launch-willsboro,Willsboro Bay Boat Launch,bay,boat-launch,,44.40009,-73.39033,Willsboro,NY,United States,Lake Champlain Broad,State boat launch facility,,,,,,,FALSE,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
### YOUR DATA GOES BELOW ###,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
