Mile Marker,Name,Categories,City/Town,State/Province,Country,Location,Sublocation,Coordinates,Website,Telephone,VHF,Description,Fuel Available,Fuel Types,Ethanol Free,Total Slips,Transient Slips,Max Vessel Length,Min Depth,Bridge Type,Bridge Clearance,Bridge Clearance Open,Bridge Roadway,Bridge Opening Schedule,Lock Number,Lock Canal,Lock Lift,Lock Chamber Length,Lock Chamber Width,Lock Operating Hours,Lock Operating Season,ATON Characteristic,ATON Color,ATON Shape
,Wilcox Dock,Public Dock,Plattsburgh,New York,United States,Lake Champlain,Northern,"44.70847168491057, -73.44332713226694",,,,Public dock in Plattsburgh,,,,,,,,,,,,,,,,,,,,,,
,City of Plattsburgh Marina,Marina,Plattsburgh,New York,United States,Lake Champlain,Northern,"44.69684969183512, -73.4405045217145",http://www.plattsburghrecreation.com/marina,15183247245,,Municipal marina in downtown Plattsburgh,TRUE,gasoline,FALSE,75,15,50,6,,,,,,,,,,,,,,,
,Plattsburgh Boat Basin,Marina,Plattsburgh,New York,United States,Lake Champlain,Northern,"44.69673529473506, -73.44057425914698",http://www.plattsburghboatbasin.com/,15185612800,9,Full-service marina with fuel dock,TRUE,"gasoline,diesel",TRUE,120,25,65,8,,,,,,,,,,,,,,,
,Crab Island,Island,Plattsburgh,New York,United States,Lake Champlain,Northern,"44.66205497214494, -73.41656248040859",,,,Historic island - site of Battle of Plattsburgh,,,,,,,,,,,,,,,,,,,,,,
,USACOE Troy Federal Lock,Lock,Troy,New York,United States,Hudson River,Capital Region,"42.75143385094, -73.6854453811803",,,,Federal lock at head of tidewater Hudson River,,,,,,,,,,,,,Troy,Hudson River,14,600,44.5,24 hours,Year-round,,,
,Collar City Bridge,Bridge,Green Island,New York,United States,Hudson River,Capital Region,"42.74029199112693, -73.68862053434404",,,,Fixed bridge over Hudson River,,,,,,,,fixed,24,,NY 378,,,,,,,,,,,
,Troy Downtown Marina,Marina,Troy,New York,United States,Hudson River,Capital Region,"42.73533161505528, -73.68861027050298",,,,Marina in downtown Troy,TRUE,gasoline,FALSE,40,10,45,8,,,,,,,,,,,,,,,
,Green Island Bridge,Bridge,Troy,New York,United States,Hudson River,Capital Region,"42.73551755427481, -73.68974939955453",,,,Fixed bridge connecting Troy to Green Island,,,,,,,,fixed,22,,NY 2,,,,,,,,,,,
,Troy-Menands Bridge,Bridge,Troy,New York,United States,Hudson River,Capital Region,"42.70100460748762, -73.70300899934794",,,,Fixed highway bridge,,,,,,,,fixed,135,,I-787,,,,,,,,,,,
,Congress Street Bridge,Bridge,Watervliet,New York,United States,Hudson River,Capital Region,"42.728914387195815, -73.69723695740751",,,,Fixed bridge,,,,,,,,fixed,24,,Congress St,,,,,,,,,,,
,Chelsea Piers Marina,Marina,New York City,New York,United States,Hudson River,NYC,"40.74607978425462, -74.00962283904776",https://www.chelseapiers.com/marina,12123366600,9,Premier Manhattan marina,TRUE,"gasoline,diesel",FALSE,200,50,200,15,,,,,,,,,,,,,,,
,Statue of Liberty,Landmark,New York City,New York,United States,Hudson River,NYC,"40.68920869521197, -74.04460769103578",,,,Iconic landmark at entrance to Hudson River,,,,,,,,,,,,,,,,,,,,,,
,Verrazzano-Narrows Bridge,Bridge,New York City,New York,United States,Hudson River,NYC,"40.606974563134344, -74.04343711540345",,,,Suspension bridge - entrance to NY Harbor,,,,,,,,fixed,228,,I-278,,,,,,,,,,,
0,Romer Shoal Light,Aid to Navigation,Middletown Township,New Jersey,United States,Atlantic Ocean,Ocean,"40.50957918512855, -73.99857781617676",,,,Lighthouse marking entrance to Ambrose Channel,,,,,,,,,,,,,,,,,,,,Fl W 15s,white,tower
,Waterford Marina,Marina,Waterford,New York,United States,Hudson River,Capital Region,"42.78783189939874, -73.67992966314684",,,,Marina at confluence of Erie and Champlain Canals,TRUE,gasoline,FALSE,30,5,40,6,,,,,,,,,,,,,,,
,Waterford Harbor Visitor Center,Points of Interest,Waterford,New York,United States,Hudson River,Capital Region,"42.78737522803156, -73.67958634040231",,15182339123,,NYS Canal visitor center,,,,,,,,,,,,,,,,,,,,,,
,Erie Canal Lock E2,Lock,Waterford,New York,United States,Hudson River,Capital Region,"42.78927275423102, -73.68175356524912",,18004226254,13,Second lock on Erie Canal Flight of Five,,,,,,,,,,,,,E-2,Erie Canal,34,300,43.5,7am-5pm,May 1 - Nov 15,,,
,112th Street Bridge,Bridge,Cohoes,New York,United States,Hudson River,Capital Region,"42.77169376826124, -73.68166081053707",,,,Fixed bridge,,,,,,,,fixed,21,,112th St,,,,,,,,,,,
,Troy Motor Boat & Canoe Club,Marina,Troy,New York,United States,Hudson River,Capital Region,"42.78251903756698, -73.67571101112426",http://troyboatclub.com/,15182359697,,Private boat club with transient welcome,TRUE,gasoline,FALSE,50,5,35,6,,,,,,,,,,,,,,,
,Troy-Waterford Bridge,Bridge,Troy,New York,United States,Hudson River,Capital Region,"42.788770466078724, -73.67409785290502",,,,Fixed bridge,,,,,,,,fixed,17,,NY 4,,,,,,,,,,,
,Waterford Boat Launch,Boat Launch,Waterford,New York,United States,Hudson River,Capital Region,"42.785576064516526, -73.67744261914862",,,,State boat launch,,,,,,,,,,,,,,,,,,,,,,
C-1,"Lock C1 Waterford, Champlain Canal",Lock,Waterford,New York,United States,Champlain Canal,Capital Region,"42.82405537326736, -73.6643180672735",,15182378566,13,First lock northbound on Champlain Canal,,,,,,,,,,,,,C-1,Champlain Canal,14,300,43.5,7am-5pm,May 1 - Nov 15,,,
,Lock One Marina,Marina,Waterford,New York,United States,Champlain Canal,Capital Region,"42.82924448018401, -73.66629735293856",http://www.lockonemarinaandshipyard.com/,15182381321,9,Full-service marina with shipyard,TRUE,"gasoline,diesel",TRUE,80,15,60,8,,,,,,,,,,,,,,,
,Halfmoon Lighthouse Park,Points of Interest,Halfmoon,New York,United States,Hudson River,Capital Region,"42.838574327684704, -73.67266047546154",http://www.townofhalfmoon-ny.gov/parks-department/pages/lighthouse-park,15183717410,,Park with historic lighthouse replica,,,,,,,,,,,,,,,,,,,,,,
,Mechanicville Hydroelectric Plant,Points of Interest,Mechanicville,New York,United States,Hudson River,Capital Region,"42.877964741674965, -73.67753173730165",https://en.wikipedia.org/wiki/Mechanicville_Hydroelectric_Plant,,,Historic hydroelectric facility,,,,,,,,,,,,,,,,,,,,,,
,Mechanicville City Docks,Public Dock,Mechanicville,New York,United States,Hudson River,Capital Region,"42.90405988907791, -73.68396404905175",,,,Free municipal docks with limited amenities,,,,,,,,,,,,,,,,,,,,,,
,Howland Ave Bridge,Bridge,Mechanicville,New York,United States,Hudson River,Capital Region,"42.905364438563446, -73.68230376171691",,,,Fixed bridge,,,,,,,,fixed,17,,Howland Ave,,,,,,,,,,,
C-3,"Lock C3 Mechanicville North, Champlain Canal",Lock,Mechanicville,New York,United States,Champlain Canal,Capital Region,"42.91169032628117, -73.67777351072817",,,,Champlain Canal lock,,,,,,,,,,,,,C-3,Champlain Canal,12,300,43.5,7am-5pm,May 1 - Nov 15,,,
C-2,"Lock C2 Mechanicville South, Champlain Canal",Lock,Mechanicville,New York,United States,Champlain Canal,Capital Region,"42.87787500659451, -73.67635448085775",,,,Champlain Canal lock,,,,,,,,,,,,,C-2,Champlain Canal,10,300,43.5,7am-5pm,May 1 - Nov 15,,,
,Mechanicville Rail Bridge,Bridge,Mechanicville,New York,United States,Hudson River,Capital Region,"42.919280603574634, -73.67183300288767",,,,Railroad lift bridge,,,,,,,,lift,8,45,CSX Railroad,,On signal,,,,,,,,,
C-4,"Lock C4 Schaghticoke, Champlain Canal",Lock,Schaghticoke,New York,United States,Champlain Canal,Capital Region,"42.93239887540657, -73.6545905709741",,15186645261,13,Champlain Canal lock,,,,,,,,,,,,,C-4,Champlain Canal,11,300,43.5,7am-5pm,May 1 - Nov 15,,,
,Stillwater Bridge,Bridge,Stillwater,New York,United States,Hudson River,,"42.93698354773763, -73.64952846871257",,,,Fixed bridge,,,,,,,,fixed,17,,NY 4,,,,,,,,,,,
,Town of Saratoga Boat Launch,Boat Launch,Quaker Springs,New York,United States,Hudson River,,"43.03610955094749, -73.59227658929832",,,,State boat launch,,,,,,,,,,,,,,,,,,,,,,
,The Alley Bar and Grill,Restaurant,Schuylerville,New York,United States,Hudson River,,"43.05910513621496, -73.59314904006052",,15185076151,,Casual dining near canal,,,,,,,,,,,,,,,,,,,,,,
,Schuylerville Beach,Points of Interest,Schuylerville,New York,United States,Hudson River,,"43.098828805181604, -73.57586555230571",,,,Public beach on Hudson River,,,,,,,,,,,,,,,,,,,,,,
,The Basin Grill,Restaurant,Schuylerville,New York,United States,Hudson River,,"43.09832351388868, -73.57597552289732",http://www.thebasingrill.com/,15186952073,,Waterfront dining,,,,,,,,,,,,,,,,,,,,,,
,Schuylerville Bridge,Bridge,Schuylerville,New York,United States,Hudson River,,"43.0985644090987, -73.57538275469828",,,,Fixed bridge,,,,,,,,fixed,17,,NY 29,,,,,,,,,,,
,Batten Kill River,Confluence,Clark Mills,New York,United States,Hudson River,,"43.10950266172438, -73.57461521930261",,,,Confluence of Batten Kill with Hudson,,,,,,,,,,,,,,,,,,,,,,
,The Marshall House,Historic Landmark,Schuylerville,New York,United States,Hudson River,,"43.11125713342057, -73.57997963733123",https://themarshallhouse.org/,15185075444,,Historic house from Revolutionary War,,,,,,,,,,,,,,,,,,,,,,
C-5,"Lock C5 Northumberland, Champlain Canal",Lock,Schuylerville,New York,United States,Champlain Canal,,"43.112537709372766, -73.57797334504292",,15186953919,13,Champlain Canal lock near Saratoga battlefield,,,,,,,,,,,,,C-5,Champlain Canal,19,300,43.5,7am-5pm,May 1 - Nov 15,,,
,Northumberland Bridge,Bridge,Greenwich,New York,United States,Hudson River,,"43.128801717438975, -73.58706998018788",,,,Fixed bridge,,,,,,,,fixed,17,,County Road,,,,,,,,,,,
C-6,"Lock C6 Fort Miller, Champlain Canal",Lock,Fort Edward,New York,United States,Champlain Canal,,"43.16153275491472, -73.5798174017929",,,,Champlain Canal lock,,,,,,,,,,,,,C-6,Champlain Canal,16,300,43.5,7am-5pm,May 1 - Nov 15,,,
,Fort Miller Road Bridge,Bridge,Fort Edward,New York,United States,Hudson River,,"43.16671799248884, -73.57980207961684",,,,Fixed bridge,,,,,,,,fixed,17,,Fort Miller Rd,,,,,,,,,,,
,"Fort Edward, Empire State Trail Bridge",Bridge,Fort Edward,New York,United States,Hudson River,,"43.17766562040275, -73.57924867584393",,,,Pedestrian/bike bridge,,,,,,,,fixed,17,,Empire State Trail,,,,,,,,,,,
,"Fort Edward, Champlain Canal Historic Lock",Historic Landmark,Fort Edward,New York,United States,Hudson River,,"43.18954480038459, -73.5810223882048",,,,Remains of original 1823 canal lock,,,,,,,,,,,,,,,,,,,,,,
,Moses Kill River,Confluence,Fort Edward,New York,United States,Hudson River,,"43.19921475661272, -73.58200973033641",,,,Stream confluence with Hudson,,,,,,,,,,,,,,,,,,,,,,
,August Field Airport on Griffin Island,Points of Interest,Gansevoort,New York,United States,Hudson River,,"43.20954928554044, -73.58258037818688",,,,Small private airport on island,,,,,,,,,,,,,,,,,,,,,,
,Snook Kill,Confluence,Gansevoort,New York,United States,Hudson River,,"43.231026889898914, -73.5928388438784",,,,Stream confluence with Hudson,,,,,,,,,,,,,,,,,,,,,,
,Hudson River Boat Launch at Fort Edward,Boat Launch,Fort Edward,New York,United States,Hudson River,,"43.25429788131806, -73.58800408573741",,,,State boat launch,,,,,,,,,,,,,,,,,,,,,,
C-7,"Lock C7 Fort Edward, Champlain Canal",Lock,Fort Edward,New York,United States,Champlain Canal,,"43.25650122457995, -73.58443740807523",,,,Champlain Canal lock,,,,,,,,,,,,,C-7,Champlain Canal,11,300,43.5,7am-5pm,May 1 - Nov 15,,,
,Route 4 Bridge Fort Edward,Bridge,Fort Edward,New York,United States,Hudson River,,"43.259512586076546, -73.5807581634144",,,,Fixed highway bridge,,,,,,,,fixed,17,,US Route 4,,,,,,,,,,,
,Fort Edward Yacht Basin,Public Dock,Fort Edward,New York,United States,Champlain Canal,,"43.26829224225778, -73.5880136602602",,,,Free public dock with electric and water,,,,,,,,,,,,,,,,,,,,,,
,Champlain Canal Hudson Confluence,Confluence,Fort Edward,New York,United States,Hudson River,,"43.255991169870356, -73.5853093690123",,,,Point where canal diverges from Hudson River,,,,,,,,,,,,,,,,,,,,,,
,Argyle Street Bridge - Fort Edward,Bridge,Fort Edward,New York,United States,Hudson River,,"43.26408966500471, -73.57604790904888",,,,Fixed bridge,,,,,,,,fixed,17,,Argyle St,,,,,,,,,,,
,East Street Bridge - Fort Edward,Bridge,Fort Edward,New York,United States,Hudson River,,"43.27218364095962, -73.56880300041637",,,,Fixed bridge,,,,,,,,fixed,17,,East St,,,,,,,,,,,
C-8,"Lock C8 Hudson Falls, Champlain Canal",Lock,Hudson Falls,New York,United States,Champlain Canal,,"43.28198241299902, -73.55919334259485",,,,Champlain Canal lock,,,,,,,,,,,,,C-8,Champlain Canal,14,300,43.5,7am-5pm,May 1 - Nov 15,,,
,NY 196 Bridge - Hudson Falls,Bridge,Hudson Falls,New York,United States,Champlain Canal,,"43.304084082181916, -73.53929830549492",,,,Fixed bridge,,,,,,,,fixed,17,,NY 196,,,,,,,,,,,
,New Swamp Road Bridge,Bridge,Hudson Falls,New York,United States,Champlain Canal,,"43.33190235212719, -73.5108438837928",,,,Fixed bridge,,,,,,,,fixed,17,,New Swamp Rd,,,,,,,,,,,
C-9,"Lock C9 Smith's Basin, Champlain Canal",Lock,Fort Ann,New York,United States,Champlain Canal,,"43.35180057713157, -73.49573674869272",,,,Champlain Canal lock,,,,,,,,,,,,,C-9,Champlain Canal,11,300,43.5,7am-5pm,May 1 - Nov 15,,,
,NY 149 Bridge - Fort Ann,Bridge,Fort Ann,New York,United States,Champlain Canal,,"43.35781476910574, -73.49359879934632",,,,Fixed bridge,,,,,,,,fixed,17,,NY 149,,,,,,,,,,,
,Baldwin Corners Road Bridge - Fort Ann,Bridge,Fort Ann,New York,United States,Champlain Canal,,"43.39003920729446, -73.48610344231157",,,,Fixed bridge,,,,,,,,fixed,17,,Baldwin Corners Rd,,,,,,,,,,,
,Ann Street Bridge - Fort Ann,Bridge,Fort Ann,New York,United States,Champlain Canal,,"43.413659464138505, -73.48497093968366",,,,Fixed bridge,,,,,,,,fixed,17,,Ann St,,,,,,,,,,,
,Fort Ann Canal Park,Points of Interest,Fort Ann,New York,United States,Champlain Canal,,"43.414324653853924, -73.48529235691245",,,,Canal-side park with docks and picnic area,,,,,,,,,,,,,,,,,,,,,,
,NY 22 Bridge - Comstock,Bridge,Comstock,New York,United States,Champlain Canal,,"43.456953658555406, -73.44100936231177",,,,Fixed bridge,,,,,,,,fixed,17,,NY 22,,,,,,,,,,,
C-11,"Lock C11 Comstock, Champlain Canal",Lock,Comstock,New York,United States,Champlain Canal,,"43.46815206507674, -73.43505663732472",,,,Champlain Canal lock,,,,,,,,,,,,,C-11,Champlain Canal,11,300,43.5,7am-5pm,May 1 - Nov 15,,,
,Ryder Road Bridge,Bridge,Whitehall,New York,United States,Champlain Canal,,"43.48421360972283, -73.42475084601978",,,,Fixed bridge,,,,,,,,fixed,17,,Ryder Rd,,,,,,,,,,,
,Mettawee River,Confluence,Whitehall,New York,United States,Champlain Canal,,"43.533803058573945, -73.40243579841255",,,,River confluence,,,,,,,,,,,,,,,,,,,,,,
,Whitehall Train Bridge,Bridge,Whitehall,New York,United States,Champlain Canal,,"43.54788424169869, -73.40215656572875",,,,Railroad swing bridge,,,,,,,,swing,8,135,Amtrak/CSX,,On signal,,,,,,,,,
,Poultney Street Bridge - Whitehall,Bridge,Whitehall,New York,United States,Champlain Canal,,"43.549596812267, -73.40208682829274",,,,Fixed bridge,,,,,,,,fixed,17,,Poultney St,,,,,,,,,,,
,Whitehall Public Boat Launch,Boat Launch,Whitehall,New York,United States,Champlain Canal,,"43.5508006304283, -73.40229306825833",,,,State boat launch,,,,,,,,,,,,,,,,,,,,,,
,1812 U.S.S. Ticonderoga Hull,Historic Landmark;Points of Interest,Whitehall,New York,United States,Champlain Canal,,"43.55279746178915, -73.40249063536521",,,,Hull remains of War of 1812 schooner,,,,,,,,,,,,,,,,,,,,,,
,Skenesborough Museum,Points of Interest,Whitehall,New York,United States,Champlain Canal,,"43.5532639968131, -73.4026059703497",http://www.skenesborough.com/skenesborough-museum/,15184990716,,Local history museum - Birthplace of US Navy,,,,,,,,,,,,,,,,,,,,,,
,Saunders Street Bridge,Bridge,Whitehall,New York,United States,Champlain Canal,,"43.555177573975115, -73.40158863706999",,,,Fixed bridge,,,,,,,,fixed,17,,Saunders St,,,,,,,,,,,
C-12,"Lock C12 Whitehall, Champlain Canal",Lock,Whitehall,New York,United States,Champlain Canal,,"43.557674481072944, -73.40087603264287",,15184991700,13,Last lock northbound - entrance to Lake Champlain,,,,,,,,,,,,,C-12,Champlain Canal,11,300,43.5,7am-5pm,May 1 - Nov 15,,,
,Whitehall Marina,Marina,Whitehall,New York,United States,Lake Champlain,Southern,"43.55927170670533, -73.40085725716911",,15184999700,9,Full-service marina at head of Lake Champlain,TRUE,"gasoline,diesel",FALSE,50,10,50,6,,,,,,,,,,,,,,,
,Champs Corner Pub and Grill,Restaurant,Whitehall,New York,United States,Lake Champlain,Southern,"43.56136247258776, -73.40087483373414",https://www.facebook.com/profile.php?id=100063549885004,15184995172,,Casual dining near marina,,,,,,,,,,,,,,,,,,,,,,
,Poultney River,Confluence,West Haven,Vermont,United States,Lake Champlain,Southern,"43.56895090518341, -73.40054988694115",,,,River confluence with lake,,,,,,,,,,,,,,,,,,,,,,
,South Bay,Bay;Anchorage,Whitehall,New York,United States,Lake Champlain,Southern,"43.5822719999323, -73.4277590047984",,,,Protected anchorage south of main lake,,,,,,,,,,,,,,,,,,,,,,
,Western Most Point of Vermont,Points of Interest,West Haven,Vermont,United States,Lake Champlain,Southern,"43.58860301723655, -73.43055817968121",,,,Geographic point of interest,,,,,,,,,,,,,,,,,,,,,,
,Benson Landing Boat Launch,Boat Launch,Benson,Vermont,United States,Lake Champlain,Southern,"43.728642768241, -73.36732903673419",,,,Vermont state boat launch,,,,,,,,,,,,,,,,,,,,,,
,George Davis Boat Launch,Boat Launch,Orwell,Vermont,United States,Lake Champlain,Southern,"43.76421009170354, -73.34309365185183",https://anrweb.vt.gov/FWD/FW/FishingAccessAreas.aspx,,,Vermont Fish & Wildlife access,,,,,,,,,,,,,,,,,,,,,,
,Plunder Bay Marina,Marina,Orwell,Vermont,United States,Lake Champlain,Southern,"43.79439150486487, -73.3578369982008",http://plunderbayvt.com/,18023451460,,Marina on southern Lake Champlain,TRUE,gasoline,FALSE,30,5,40,6,,,,,,,,,,,,,,,
,Chipman Point Marina,Marina,Orwell,Vermont,United States,Lake Champlain,Southern,"43.7997932892087, -73.37568428914632",https://chipmanpoint.com/,18029482288,9,Full-service marina near historic sites,TRUE,"gasoline,diesel",TRUE,60,10,50,8,,,,,,,,,,,,,,,
,Mt. Independence Visitor Center,Points of Interest,Orwell,Vermont,United States,Lake Champlain,Southern,"43.818613005107494, -73.38485124956458",https://historicsites.vermont.gov/mount-independence,18025058592,,Vermont historic site visitor center,,,,,,,,,,,,,,,,,,,,,,
,Mount Independence,Historic Landmark;Points of Interest,Orwell,Vermont,United States,Lake Champlain,Southern,"43.826395393512264, -73.38160495210535",https://historicsites.vermont.gov/mount-independence,18025058592,,Revolutionary War fortification site,,,,,,,,,,,,,,,,,,,,,,
,Fort View Inn,Restaurant,Ticonderoga,New York,United States,Lake Champlain,Southern,"43.828361378431, -73.40025166880278",,,,Waterfront dining with fort views,,,,,,,,,,,,,,,,,,,,,,
,La Chute River,Confluence,Ticonderoga,New York,United States,Lake Champlain,Southern,"43.83493398033025, -73.39372692295336",,,,Historic river outlet from Lake George,,,,,,,,,,,,,,,,,,,,,,
,Fort Ticonderoga,Historic Landmark;Points of Interest,Ticonderoga,New York,United States,Lake Champlain,Southern,"43.84186856267097, -73.38749607538244",https://www.fortticonderoga.org/,,,Revolutionary War fort and museum,,,,,,,,,,,,,,,,,,,,,,
,General Henry Knox Cannon Trail Marker #1,Historic Landmark,Ticonderoga,New York,United States,Lake Champlain,Southern,"43.84080067895851, -73.38408430560871",,,,Historic marker on Knox Trail,,,,,,,,,,,,,,,,,,,,,,
,Mount Defiance,Historic Landmark;Points of Interest,Ticonderoga,New York,United States,Lake Champlain,Southern,"43.83160369709217, -73.40653977741042",http://www.fortticonderoga.org/visit/mount-defiance,,,Strategic hilltop with panoramic views,,,,,,,,,,,,,,,,,,,,,,
,Larrabees Point Access Area,Boat Launch,Shoreham,Vermont,United States,Lake Champlain,Southern,"43.84922971666925, -73.36942565357774",https://anrweb.vt.gov/FWD/FW/FishingAccessAreas.aspx?aa=Larrabees%20Point,,,Vermont boat launch at ferry crossing,,,,,,,,,,,,,,,,,,,,,,
,Ticonderoga Boat Launch,Boat Launch;Public Dock,Ticonderoga,New York,United States,Lake Champlain,Southern,"43.85364753068864, -73.38511121153566",,,,State boat launch and dock,,,,,,,,,,,,,,,,,,,,,,
,Fort Ticonderoga Ferry,Ferry;Points of Interest,Shoreham,Vermont,United States,Lake Champlain,Southern,"43.85364753068864, -73.38511121153566",,,,Historic cable ferry crossing,,,,,,,,,,,,,,,,,,,,,,
,Sylvamo - Ticonderoga Mill,Points of Interest,Ticonderoga,New York,United States,Lake Champlain,Southern,"43.89227093936317, -73.40236555218047",http://sylvamo.com/,,,Paper mill - local landmark,,,,,,,,,,,,,,,,,,,,,,
,Lapham Bay Access Area,Boat Launch,Bridport,Vermont,United States,Lake Champlain,Southern,"43.926094603107124, -73.39227570627233",,,,Vermont boat launch,,,,,,,,,,,,,,,,,,,,,,
,Sheepshead Island,Island,Crown Point,New York,United States,Lake Champlain,Southern,"43.93790686479738, -73.41355648775505",,,,Small island in southern lake,,,,,,,,,,,,,,,,,,,,,,
,Monitor Bay Campsite and Boat Launch,Boat Launch;Campground,Crown Point,New York,United States,Lake Champlain,Southern,"43.947924789848436, -73.41332612038939",https://townofcrownpointny.gov/monitor-bay/,,,Municipal campground with boat launch,,,,,,,,,,,,,,,,,,,,,,
,Gilligans Bay,Anchorage;Bay,Crown Point,New York,United States,Lake Champlain,Southern,"43.95557841255965, -73.41081844619963",,,,Protected anchorage,,,,,,,,,,,,,,,,,,,,,,
,Putts Point Spires,Obstructions,Crown Point,New York,United States,Lake Champlain,Southern,"43.957598061654956, -73.4067736750532",,,,Underwater hazard - marked,,,,,,,,,,,,,,,,,,,,,,
,Sportsman Campground and Cottages,Campground,Addison,Vermont,United States,Lake Champlain,Southern,"44.03264214812174, -73.40990981755553",http://www.sportsmanccs.com/,,,Lakeside camping,,,,,,,,,,,,,,,,,,,,,,
,10 Acres Campground,Campground,Addison,Vermont,United States,Lake Champlain,Southern,"44.03008190791238, -73.40400251392309",https://www.10acrescampground.com/,,,Campground near bridge,,,,,,,,,,,,,,,,,,,,,,
,Red Conical 58 Lighted - RFL4S,ATON;Buoy,Crown Point,New York,United States,Lake Champlain,Southern,"44.02632246954932, -73.41340624438519",,,,Lighted channel buoy,,,,,,,,,,,,,,,,,,,,Fl R 4s,red,nun
,Red Nun 56,ATON;Buoy,Crown Point,New York,United States,Lake Champlain,Southern,,,,,Channel marker buoy,,,,,,,,,,,,,,,,,,,,,red,nun
,Chimney Point Boat Ramp,Boat Launch,Addison,Vermont,United States,Lake Champlain,Southern,"44.034504792115065, -73.42188745923237",,,,Vermont boat launch at bridge,,,,,,,,,,,,,,,,,,,,,,
,Chimney Point Historic Museum,Historic Landmark;Points of Interest,Addison,Vermont,United States,Lake Champlain,Southern,"44.034884357875434, -73.42095217714127",http://historicsites.vermont.gov/,,,Vermont historic site,,,,,,,,,,,,,,,,,,,,,,
,Lake Champlain Bridge,Bridge,Crown Point,New York,United States,Lake Champlain,Southern,"44.03278594283646, -73.4232035957054",,,,Fixed bridge - only crossing between Whitehall and Rouses Point,,,,,,,,fixed,75,,NY 185 / VT 17,,,,,,,,,,,
,Crown Point Boat Launch,Boat Launch,Crown Point,New York,United States,Lake Champlain,Southern,"44.02955512600389, -73.42450011890374",,,,State boat launch,,,,,,,,,,,,,,,,,,,,,,
